Date,Open,High,Low,Close,Volume
7-Dec-16,109.26,111.19,109.16,111.03,29998719
6-Dec-16,109.50,110.36,109.19,109.95,26195462
5-Dec-16,110.00,110.03,108.25,109.11,34324540
2-Dec-16,109.17,110.09,108.85,109.90,26527997
1-Dec-16,110.36,110.94,109.03,109.49,37086862
30-Nov-16,111.60,112.20,110.27,110.52,36162258
29-Nov-16,110.78,112.03,110.07,111.46,28528750
28-Nov-16,111.43,112.46,111.39,111.57,27193983
25-Nov-16,111.47,111.87,110.95,111.79,11475922
23-Nov-16,111.36,111.51,110.33,111.23,27426394
22-Nov-16,111.95,112.42,111.40,111.80,25965534
21-Nov-16,110.12,111.99,110.01,111.73,29264571
18-Nov-16,109.72,110.54,109.66,110.06,28428917
17-Nov-16,109.81,110.35,108.83,109.95,26964598
16-Nov-16,106.70,110.23,106.60,109.99,58840522
15-Nov-16,106.57,107.68,106.16,107.11,32264510
14-Nov-16,107.71,107.81,104.08,105.71,51175504
11-Nov-16,107.12,108.87,106.55,108.43,34143898
10-Nov-16,111.09,111.09,105.83,107.79,57134541
9-Nov-16,109.88,111.32,108.05,110.88,59176361
8-Nov-16,110.31,111.72,109.70,111.06,24254179
7-Nov-16,110.08,110.51,109.46,110.41,32560000
4-Nov-16,108.53,110.25,108.11,108.84,30836997
3-Nov-16,110.98,111.46,109.55,109.83,26932602
2-Nov-16,111.40,112.35,111.23,111.59,28331709
1-Nov-16,113.46,113.77,110.53,111.49,43825812
31-Oct-16,113.65,114.23,113.20,113.54,26419398
28-Oct-16,113.87,115.21,113.45,113.72,37861662
27-Oct-16,115.39,115.86,114.10,114.48,34562045
26-Oct-16,114.31,115.70,113.31,115.59,66134219
25-Oct-16,117.95,118.36,117.31,118.25,48128970
24-Oct-16,117.10,117.74,117.00,117.65,23538673
21-Oct-16,116.81,116.91,116.28,116.60,23192665
20-Oct-16,116.86,117.38,116.33,117.06,24125801
19-Oct-16,117.25,117.76,113.80,117.12,20034594
18-Oct-16,118.18,118.21,117.45,117.47,24553478
17-Oct-16,117.33,117.84,116.78,117.55,23624896
14-Oct-16,117.88,118.17,117.13,117.63,35652191
13-Oct-16,116.79,117.44,115.72,116.98,35192406
12-Oct-16,117.35,117.98,116.75,117.34,37586787
11-Oct-16,117.70,118.69,116.20,116.30,64041043
10-Oct-16,115.02,116.75,114.72,116.05,36235956
7-Oct-16,114.31,114.56,113.51,114.06,24358443
6-Oct-16,113.70,114.34,113.13,113.89,28779313
5-Oct-16,113.40,113.66,112.69,113.05,21453089
4-Oct-16,113.06,114.31,112.63,113.00,29736835
3-Oct-16,112.71,113.05,112.28,112.52,21701760
30-Sep-16,112.46,113.37,111.80,113.05,36379106
29-Sep-16,113.16,113.80,111.80,112.18,35886990
28-Sep-16,113.69,114.64,113.43,113.95,29641085
27-Sep-16,113.00,113.18,112.34,113.09,24607412
26-Sep-16,111.64,113.39,111.55,112.88,29869442
23-Sep-16,114.42,114.79,111.55,112.71,52481151
22-Sep-16,114.35,114.94,114.00,114.62,31073984
21-Sep-16,113.85,113.99,112.44,113.55,36003185
20-Sep-16,113.05,114.12,112.51,113.57,34514269
19-Sep-16,115.19,116.18,113.25,113.58,47023046
16-Sep-16,115.12,116.13,114.04,114.92,79886911
15-Sep-16,113.86,115.73,113.49,115.57,90613177
14-Sep-16,108.73,113.03,108.60,111.77,112340318
13-Sep-16,107.51,108.79,107.24,107.95,62176190
12-Sep-16,102.65,105.72,102.53,105.44,45292770
9-Sep-16,104.64,105.72,103.13,103.13,46556984
8-Sep-16,107.25,107.27,105.24,105.52,53002026
7-Sep-16,107.83,108.76,107.07,108.36,42364328
6-Sep-16,107.90,108.30,107.51,107.70,26880391
2-Sep-16,107.70,108.00,106.82,107.73,26334858
1-Sep-16,106.14,106.80,105.62,106.73,26701523
31-Aug-16,105.66,106.57,105.64,106.10,29662406
30-Aug-16,105.80,106.50,105.50,106.00,24863945
29-Aug-16,106.62,107.44,106.29,106.82,24970300
26-Aug-16,107.41,107.95,106.31,106.94,27766291
25-Aug-16,107.39,107.88,106.68,107.57,25086248
24-Aug-16,108.56,108.75,107.68,108.03,23675081
23-Aug-16,108.59,109.32,108.53,108.85,21257669
22-Aug-16,108.86,109.10,107.85,108.51,25820230
19-Aug-16,108.77,109.69,108.36,109.36,25368072
18-Aug-16,109.23,109.60,109.02,109.08,21984703
17-Aug-16,109.10,109.37,108.34,109.22,25355976
16-Aug-16,109.63,110.23,109.21,109.38,33794448
15-Aug-16,108.14,109.54,108.08,109.48,25868209
12-Aug-16,107.78,108.44,107.78,108.18,18660434
11-Aug-16,108.52,108.93,107.85,107.93,27484506
10-Aug-16,108.71,108.90,107.76,108.00,24008505
9-Aug-16,108.23,108.94,108.01,108.81,26315204
8-Aug-16,107.52,108.37,107.16,108.37,28037220
5-Aug-16,106.27,107.65,106.18,107.48,40553402
4-Aug-16,105.58,106.00,105.28,105.87,27408650
3-Aug-16,104.81,105.84,104.77,105.79,30202641
2-Aug-16,106.05,106.07,104.00,104.48,33816556
1-Aug-16,104.41,106.15,104.41,106.05,38167871
29-Jul-16,104.19,104.55,103.68,104.21,27733688
28-Jul-16,102.83,104.45,102.82,104.34,39869839
27-Jul-16,104.26,104.35,102.75,102.95,92344820
26-Jul-16,96.82,97.97,96.42,96.67,56239822
25-Jul-16,98.25,98.84,96.92,97.34,40382921
22-Jul-16,99.26,99.30,98.31,98.66,28313669
21-Jul-16,99.83,101.00,99.13,99.43,32702028
20-Jul-16,100.00,100.46,99.74,99.96,26275968
19-Jul-16,99.56,100.00,99.34,99.87,23779924
18-Jul-16,98.70,100.13,98.60,99.83,36493867
15-Jul-16,98.92,99.30,98.50,98.78,30136990
14-Jul-16,97.39,98.99,97.32,98.79,38918997
13-Jul-16,97.41,97.67,96.84,96.87,25892171
12-Jul-16,97.17,97.70,97.12,97.42,24167463
11-Jul-16,96.75,97.65,96.73,96.98,23794945
8-Jul-16,96.49,96.89,96.05,96.68,28912103
7-Jul-16,95.70,96.50,95.62,95.94,25139558
6-Jul-16,94.60,95.66,94.37,95.53,30949090
5-Jul-16,95.39,95.40,94.46,94.99,27705210
1-Jul-16,95.49,96.46,95.33,95.89,26026540
30-Jun-16,94.44,95.77,94.30,95.60,35836356
29-Jun-16,93.97,94.55,93.63,94.40,36531006
28-Jun-16,92.90,93.66,92.14,93.59,40444914
27-Jun-16,93.00,93.05,91.50,92.04,46622188
24-Jun-16,92.91,94.66,92.65,93.40,75311356
23-Jun-16,95.94,96.29,95.25,96.10,32240187
22-Jun-16,96.25,96.89,95.35,95.55,29219122
21-Jun-16,94.94,96.35,94.68,95.91,35546358
20-Jun-16,96.00,96.57,95.03,95.10,34411901
17-Jun-16,96.62,96.65,95.30,95.33,61008219
16-Jun-16,96.45,97.75,96.07,97.55,31326815
15-Jun-16,97.82,98.41,97.03,97.14,29445227
14-Jun-16,97.32,98.48,96.75,97.46,31931944
13-Jun-16,98.69,99.12,97.10,97.34,38020494
10-Jun-16,98.53,99.35,98.48,98.83,31712936
9-Jun-16,98.50,99.99,98.46,99.65,26601354
8-Jun-16,99.02,99.56,98.68,98.94,20848131
7-Jun-16,99.25,99.87,98.96,99.03,22409450
6-Jun-16,97.99,101.89,97.55,98.63,23292504
3-Jun-16,97.79,98.27,97.45,97.92,28504888
2-Jun-16,97.60,97.84,96.63,97.72,40191600
1-Jun-16,99.02,99.54,98.33,98.46,29173285
31-May-16,99.60,100.40,98.82,99.86,42307212
27-May-16,99.44,100.47,99.24,100.35,36229530
26-May-16,99.68,100.73,98.64,100.41,56093437
25-May-16,98.67,99.74,98.11,99.62,38168760
24-May-16,97.22,98.09,96.84,97.90,35036561
23-May-16,95.87,97.19,95.67,96.43,37860535
20-May-16,94.64,95.43,94.52,95.22,31804564
19-May-16,94.64,94.64,93.57,94.20,29693945
18-May-16,94.16,95.21,93.89,94.56,41923114
17-May-16,94.55,94.70,93.01,93.49,46507449
16-May-16,92.39,94.39,91.65,93.88,61140610
13-May-16,90.00,91.67,90.00,90.52,44188153
12-May-16,92.72,92.78,89.47,90.34,76109795
11-May-16,93.48,93.57,92.46,92.51,28539912
10-May-16,93.33,93.57,92.11,93.42,33592465
9-May-16,93.00,93.77,92.59,92.79,32855251
6-May-16,93.37,93.45,91.85,92.72,43458189
5-May-16,94.00,94.07,92.68,93.24,35763138
4-May-16,95.20,95.90,93.82,94.19,40824776
3-May-16,94.20,95.74,93.68,95.18,56533960
2-May-16,93.96,94.08,92.40,93.64,47736879
29-Apr-16,93.99,94.72,92.51,93.74,68334434
28-Apr-16,97.61,97.88,94.25,94.83,81990674
27-Apr-16,96.00,98.71,95.68,97.82,113538389
26-Apr-16,103.91,105.30,103.91,104.35,40338403
25-Apr-16,105.00,105.65,104.51,105.08,27950966
22-Apr-16,105.01,106.48,104.62,105.68,33477142
21-Apr-16,106.93,106.93,105.52,105.97,31356434
20-Apr-16,106.64,108.09,106.06,107.13,28666865
19-Apr-16,107.88,108.00,106.23,106.91,32292344
18-Apr-16,108.89,108.95,106.94,107.48,60834027
15-Apr-16,112.11,112.30,109.73,109.85,46418482
14-Apr-16,111.62,112.39,111.33,112.10,25337435
13-Apr-16,110.80,112.34,110.80,112.04,32691799
12-Apr-16,109.34,110.50,108.66,110.44,26812000
